brand,keywords,alias,category1,category2,category3,score
MAGNUM,wreckitwednesday,wreckitwednesday,Activity/engagement,Lokal,KOL Area,3
MAGNUM,wreckitwednesday,wreckitwednesday,Activity/engagement,Lokal,KOL Nasional,3
AMILD,spraytheunity,unitypitstop,Activity/engagement,Nasional,KOL Nasional,3
UMILD,UnityPitstop2018,unitypitstop,Activity/engagement,Nasional,KOL Area,3
UMILD,roadtounitypitstop,unitypitstop,Activity/engagement,Nasional,KOL Nasional,3
UMILD,unitypitstop,unitypitstop,Activity/engagement,Nasional,KOL Area,3
UMILD,unitypitstopsamarinda,unitypitstop,Activity/engagement,Nasional,KOL Nasional,3
UMILD,unitypitstop,unitypitstop,Activity/engagement,Nasional,KOL Nasional,3
UMILD,unitypitstoppekanbaru,unitypitstop,Activity/engagement,Nasional,KOL Nasional,3
UMILD,unitypitstopsamarinda,unitypitstop,Activity/engagement,Nasional,KOL Nasional,3
UMILD,unitypitstopxparjo,unitypitstop,Activity/engagement,Nasional,KOL Area,3
UMILD,unitysamarinda,unitypitstop,Activity/engagement,Nasional,KOL Nasional,3
UMILD,unityteam,unitypitstop,Activity/engagement,Nasional,KOL Area,3
UMILD,roadtounitypekanbaru,unitypitstop,Activity/engagement,Nasional,KOL Area,3
UMILD,roadtounitysamarinda,unitypitstop,Activity/engagement,Nasional,KOL Nasional,3
UMILD,unitypekanbaru,unitypitstop,Activity/engagement,Nasional,KOL Area,3
UMILD,unitypitstopxparjo,unitypitstop,Activity/engagement,Nasional,KOL Area,3
UMILD,roadtounitypitstop,unitypitstop,Activity/engagement,Nasional,KOL Nasional,3
UMILD,roadtounitypekanbaru,unitypitstop,Activity/engagement,Nasional,KOL Area,3
UMILD,roadtounitysamarinda,unitypitstop,Activity/engagement,Nasional,KOL Area,3
UMILD,unitysamarinda,unitypitstop,Activity/engagement,Nasional,KOL Area,3
UMILD,unitypekanbaru,unitypitstop,Activity/engagement,Nasional,KOL Area,3
UMILD,unitypitstoppekanbaru,unitypitstop,Activity/engagement,Nasional,KOL Area,3
UMILD,unityteam,unitypitstop,Activity/engagement,Nasional,KOL Nasional,3
UMILD,umild,umild,Product/Brand Mention,Undefined,Undefined,3
UMILD,umildcool,umild,Product/Brand Mention,Undefined,Undefined,3
UMILD,uboldfilter,umild,Product/Brand Mention,Undefined,Undefined,3
UMILD,sampoernau,umild,Product/Brand Mention,Undefined,Undefined,3
UMILD,umild,umild,Product/Brand Mention,Undefined,Undefined,3
UMILD,u-mild,umild,Product/Brand Mention,Undefined,Undefined,3
UMILD,sampoernau,umild,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,ultrabali,ultrabali,Activity/engagement,Lokal,KOL Area,3
MARLBORO,ultrabali2017,ultrabali,Activity/engagement,Lokal,KOL Area,3
UMILD,tahumenghargaikaryaseni,tahumenghargaikaryaseni,Brand Message,Undefined,Undefined,1
UMILD,taumenghargaikaryaseni,tahumenghargaikaryaseni,Brand Message,Undefined,Undefined,1
UMILD,taumenghargaikaryaseni,tahumenghargaikaryaseni,Brand Message,Undefined,Undefined,1
UMILD,tahumenghargaikaryaseni,tahumenghargaikaryaseni,Brand Message,Undefined,Undefined,1
AMILD,asoundrenaline,soundrenaline,Activity/engagement,Nasional,KOL Nasional,3
AMILD,ridetosoundrenaline,soundrenaline,Activity/engagement,Nasional,KOL Area,3
AMILD,roadtosoundrenaline,soundrenaline,Activity/engagement,Nasional,KOL Area,3
AMILD,roadtosoundrenaline2017,soundrenaline,Activity/engagement,Nasional,KOL Area,3
AMILD,roadtosoundrenalinejkt,soundrenaline,Activity/engagement,Nasional,KOL Area,3
AMILD,roadtosoundrenalinemakassar,soundrenaline,Activity/engagement,Nasional,KOL Nasional,3
AMILD,sondrenalin,soundrenaline,Activity/engagement,Nasional,KOL Area,3
AMILD,sondrenaline,soundrenaline,Activity/engagement,Nasional,KOL Nasional,3
AMILD,sondrenaline2017,soundrenaline,Activity/engagement,Nasional,KOL Nasional,3
AMILD,soundrenaline,soundrenaline,Activity/engagement,Nasional,KOL Nasional,3
AMILD,soundrenaline2017,soundrenaline,Activity/engagement,Nasional,KOL Nasional,3
AMILD,soundrenaline2018,soundrenaline,Activity/engagement,Nasional,KOL Area,3
AMILD,soundrenalinecamp,soundrenaline,Activity/engagement,Nasional,KOL Nasional,3
AMILD,soundrenalineofficialmerchandise,soundrenaline,Activity/engagement,Nasional,KOL Nasional,3
AMILD,soundsation,soundrenaline,Activity/engagement,Nasional,KOL Area,3
AMILD,soundsations,soundrenaline,Activity/engagement,Nasional,KOL Nasional,3
AMILD,soundsationsxbarasuara,soundrenaline,Activity/engagement,Nasional,KOL Area,3
AMILD,sumbartsoundtalk,soundrenaline,Activity/engagement,Nasional,KOL Nasional,3
MAGNUM,soulofsteelchalenge,soulofsteelchalenge,Activity/engagement,Lokal,KOL Area,3
MAGNUM,soulofsteelchallenge,soulofsteelchalenge,Activity/engagement,Lokal,KOL Area,3
MAGNUM,soulofstelchalenge,soulofsteelchalenge,Activity/engagement,Lokal,KOL Area,3
MAGNUM,soulofstelchallenge,soulofsteelchalenge,Activity/engagement,Lokal,KOL Nasional,3
MAGNUM,soulofsteelchalenge,soulofsteelchallenge,Brand Message,Undefined,Undefined,1
MAGNUM,soulofsteelchallenge,soulofsteelchallenge,Brand Message,Undefined,Undefined,1
MAGNUM,soulofstelchalenge,soulofsteelchallenge,Brand Message,Undefined,Undefined,1
MAGNUM,soulofstelchallenge,soulofsteelchallenge,Brand Message,Undefined,Undefined,1
MAGNUM,sonicfair,sonicfair,Activity/engagement,Lokal,KOL Area,3
MAGNUM,sonicfair2017,sonicfair,Activity/engagement,Lokal,KOL Area,3
MAGNUM,semangatbajakami,semangatbajakami,Brand Message,Undefined,Undefined,1
MAGNUM,semangatbajakami,semangatbajakami,Brand Message,Undefined,Undefined,1
UMILD,saudaraitusoalrasa,saudaraitusoalrasa,Brand Message,Undefined,Undefined,1
MARLBORO,rokok,rokok,Product/Brand Mention,Undefined,Undefined,3
UMILD,rokok,rokok,Product/Brand Mention,Undefined,Undefined,3
MAGNUM,rokok,rokok,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,RoadtoRockxRide,rockxride,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,rockxride,rockxride,Activity/engagement,Lokal,KOL Nasional,3
AMILD,nantijugaloepaham,njlp,Brand Message,Undefined,Undefined,1
AMILD,nantijugalopaham,njlp,Brand Message,Undefined,Undefined,1
AMILD,nantijugalopahambahasague,njlp,Brand Message,Undefined,Undefined,1
AMILD,nantijugalopahambahasakita,njlp,Brand Message,Undefined,Undefined,1
AMILD,nantijugalopahamekspresigue,njlp,Brand Message,Undefined,Undefined,1
AMILD,nantijugalopahamekspresikita,njlp,Brand Message,Undefined,Undefined,1
AMILD,nantijugalopahamkaryague,njlp,Brand Message,Undefined,Undefined,1
AMILD,nantijugalopahamkaryakita,njlp,Brand Message,Undefined,Undefined,1
AMILD,nantijugalupaham,njlp,Brand Message,Undefined,Undefined,1
AMILD,nantiloejugapaham,njlp,Brand Message,Undefined,Undefined,1
AMILD,nantilojugapaham,njlp,Brand Message,Undefined,Undefined,1
AMILD,nantilujugapaham,njlp,Brand Message,Undefined,Undefined,1
AMILD,njlp,njlp,Brand Message,Undefined,Undefined,1
MARLBORO,newlandid,newland,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,newlandultra,newland,Activity/engagement,Lokal,KOL Area,3
MARLBORO,newlanddwp,newland,Activity/engagement,Lokal,KOL Area,3
MARLBORO,newlandsamarinda,newland,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,newlandmakassar,newland,Activity/engagement,Lokal,KOL Area,3
MARLBORO,neuland,newland,Activity/engagement,Lokal,KOL Area,3
MARLBORO,neulandid,newland,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,newland,newland,Activity/engagement,Lokal,KOL Area,3
MARLBORO,newlandfestival,newland,Activity/engagement,Lokal,KOL Area,3
MARLBORO,newlandparty,newland,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,marlboroinultrabali,marlboro,Activity/engagement,Lokal,KOL Nasional,3
marlboro,marlboroblackmenthol,marlboro,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,marlborored,marlboro,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,marlboromerah,marlboro,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,marlborogoldlights,marlboro,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,marlboroiceburst,marlboro,Product/Brand Mention,Undefined,Undefined,3
