fieldname,contain,not_contain
type_post,type+post,
username,user+name,
name,name,user+id+location+unnamed
following_count,following,
follower_count,follower,
user_id,user+id,
post_id,post+id,
caption,text,
caption,caption,
caption,conversation,
caption,convo,
timestamp,time+stamp,
date_post,date+post,
comment_count,comment,
like_count,like,user+tw+likes
retweet_count,retweet,
user_likes,user+like,
video_view,video+view,
display_url,display+url,
is_video,is+video,
link,link,1
