,type_post,username,nafme,following_count,follower_count,user_id,post_id,caption,timestamp,date_post,comment_count,like_count,retweet_count,user_likes,video_view,display_url,is_video,link,liank.1,Brand,Likes_TW,Keyword/Hashtag,replies_count,Owner ID,source,ID
36309,,sofyandi handy ipah,,1292,1116,','nan,"'@DjarumCoklat min mau tanya, kalo sudah submit profil band tapi status nya pending, itu di coba lagi apa gimana?? Nuhun :)",27-12-17,,,,,,,,,,,Djarum,,,,,IG,
36310,,muhammad Andre Fauzi,,3312,1906,','nan,'@OfficialGTVID @ROSEMARYsk8punk @DjarumCoklat Tau,29-12-17,,,,,,,,,,,Djarum,,,,,IG,
36311,,Zihan fathurrahman,,3232,1739,','nan,"'@ozradiobandung @DjarumCoklat @capslockltd perang kemaren dimenangin sama lazio, orang keren dengerinnya #DCDCSubStereo",02-01-18,,,,,,,,,,,Djarum,,,,,IG,
36312,,Zihan fathurrahman,,3232,1739,','nan,"'@ozradiobandung @DjarumCoklat @capslockltd perang kemaren di menangin si leo, orang keren ya cuma dengerin #DCDCSubStereo",02-01-18,,,,,,,,,,,Djarum,,,,,IG,
36313,,Ginun,,4088,2125,','nan,"'@ozradiobandung @DjarumCoklat @capslockltd Eko patrio noelan bujur hansip, DCDC Substereo memang paling sip.",02-01-18,,,,,,,,,,,Djarum,,,,,IG,
36314,,Muhammad Erfan N,,5340,2740,','nan,"'@ardanradio band rock andalan ya kelompok Penerbang roket, aksi panggungnya cadas dan ugal ugalan #ArdanNgejamz #SuperMusicID #CumaDiArdan",10-01-18,,,,,,,,,,,Djarum,,,,,IG,
36315,,komalalala,,653,1469,','nan,'@ardanradio Rammstein ga di ragukan gi dgn aksi semburan api nya bikin penonton ngahuleung #ArdanNgejamz #SuperMusicID CumaDiArdan,10-01-18,,,,,,,,,,,Djarum,,,,,IG,
36316,,Out For Revenge,,5015,2215,','nan,'@DjarumCoklat Admin. untuk shoutout band itu kalo lupa password atau email bisa di forgot atau tidak ya ?,12-01-18,,,,,,,,,,,Djarum,,,,,IG,
36317,,Super Music,,4027,969,','nan,'@tintusardi on the spot sesuai venue masing2 kota. harga 15ribu,12-01-18,,,,,,,,,,,Djarum,,,,,IG,
36318,,Super Music,,4027,969,','nan,"'@yoyobani hanya bisa dibeli on the spot di venue, IDR 15.000",12-01-18,,,,,,,,,,,Djarum,,,,,IG,
36319,,amelia,,2554,1681,','nan,'ada penyiar ada radio bukan kidz jaman now klo gatau dcdcsubstereo di oz radio#DCDCSubStereo,16-01-18,,,,,,,,,,,Djarum,,,,,IG,
36320,,amelia,,2554,1681,','nan,'jalan jalan ke pasar moko pulangnya beli sembako memang top deh oz radio sampe ada juga dcdcsubstereo #Dcdcsubstereo,16-01-18,,,,,,,,,,,Djarum,,,,,IG,
36321,,Yoga Malik Maulana,,3248,2341,','nan,'@ozradiobandung Beli roko ke toko sembako Pulangya nyoto di pa haji Dcdcsubstereo di ozradio Ini acara radio yg gue cari cari #DCDCSubStereo,16-01-18,,,,,,,,,,,Djarum,,,,,IG,
36322,,Ecep Handiansyah,,1845,700,','nan,'@SuperMusic_ID #SuperMusicID 60,16-01-18,,,,,,,,,,,Djarum,,,,,IG,
36323,,Iqbal Alkautsar,,5716,2088,','nan,'@SuperMusic_ID 30 #supermusicID,16-01-18,,,,,,,,,,,Djarum,,,,,IG,
