Source,date,ECC,ACC,Convo
TW,25-12-2017,0,DCDC,Besok @THIEVFOX akan tampil di DCDC SUBSTEREO! Pantengin @ozradiobandung pukul 9 malam. Jangan lupa saksikan juga… https://t.co/HE4Bny2sZM
TW,25-12-2017,0,Bimo Aryo Prasetyo,@Djarumcoklat https://t.co/NYfM5QvCur
TW,25-12-2017,0,DCDC,"Shade!, salah sebuah grup Japanese pop punk berformasikan trio, baru saja melepas lagu – mv terbarunya berjudul “Fl… https://t.co/x0lfbELxZo"
TW,25-12-2017,6,DCDC,Selamat hari Natal buat Coklatfriends yang merayakan. Semoga diberikan kedamaian selalu untuk kita semua. https://t.co/jaeUkHQIPz
TW,25-12-2017,2,DCDC,Stop makan daging Anjing! https://t.co/bh7nSbMy4e
TW,25-12-2017,3,DCDC,"Berkolaborasi dengan seorang bassis dari grup musik ternama, Monita Tahalea tuangkan warna cerah di cuaca buruk bel… https://t.co/vmk5oPvcsW"
TW,25-12-2017,7,DCDC,3 Band Cadas Asal Kota Kembang Yang Telah Bertolak ke Luar Negeri Sepanjang 2017 https://t.co/AKvRc1Qv4e
TW,25-12-2017,4,DCDC,"Usai Bersama Iksan Skuter, Christabel Annora Ajak Sosok Baru Dalam Karya Musiknya https://t.co/EBJQkTUpLU"
TW,25-12-2017,2,Super Music,"Merry Rockin’ Christmas. Semoga damai, sejahtera &amp; semangat selalu menyertai kita semua di hari ini dan seterusnya.… https://t.co/FwHOBIQXBc"
TW,25-12-2017,2,Super Music,"Settle, band post-hardcore potensial dari Pulau Dewata rilis album baru https://t.co/rehuEYBIRl"
TW,25-12-2017,1,Super Music,Thanks for producing good music this year! Siapa musisi favorit lo di tahun ini? Tag mereka untuk kasih kado Natal https://t.co/vhsHJgVvkf
TW,25-12-2017,1,Super Music,"Rayakan 10 tahun album andalan, Protest The Hero gelar tur https://t.co/MXRUqTuNfM"
TW,25-12-2017,2,Super Music,"Kibordis @gunsnroses, Dizzy Reed, bersolo karier dan rilis album perdana https://t.co/zKxYhHC8Wq"
TW,25-12-2017,6,Super Music,"#BornToday (23/12) 1964: Happy Birthday Eddie Vedder! Frontman @PearlJam lahir hari ini, 53 tahun silam dengan nama… https://t.co/me8HW4Ar19"
TW,25-12-2017,1,Super Music,Berpenganglah pada sesuatu yang lo percaya atau lo bakal jatuh! #IDARE https://t.co/1uFpu0bmgu
TW,25-12-2017,1,Super Music,Re-upload (22/12) Selamat Hari Ibu! Ayo bantu @slankdotcom kasih bunga untuk sang Bunda #SelamatHariIbu #HariIbu… https://t.co/xIQfTBh5D3
TW,25-12-2017,12,Super Music,"#BornToday (24/12) 1945: Lemmy Kilmister lahir hari ini di Staffordshire, Inggirs. Happy Birthday, Lemmy. Rest In P… https://t.co/wKwaY9hip5"
TW,27-12-2017,0,DCDC,Sepanjang tahun 2017 ini banyak lagu-lagu yang telah dirilis. Lagu apa sih yang paling nempel di kepala lo? .… https://t.co/YtMnlAiJxO
TW,27-12-2017,2,Indie United,Coming soon!! New album •CRANIUM• death metal from North Sumatera. Please check @Indieunited @DEADSQUAD_Band… https://t.co/RFtp6KiyV6
TW,27-12-2017,0,AyuShi,"Yuk ah ramaikan lagi acara tahun baruan @djarumcoklat rebeldirtbike di pameungpeuk, garut… https://t.co/tiHgVWXgsk"
TW,27-12-2017,0,SAVE BETTER,"Silahkan buka web nya, kita ada di chart minggu ini regranned from @djarumcoklat - DCDC Music… https://t.co/WWQQT6Vxny"
TW,27-12-2017,2,DCDC,"Dalam Sebuah Band, Para Personil Ini Juga Merupakan Solois. Siapa saja mereka? Simak artikel berikut https://t.co/nIwS259h6C"
IG,27-12-2017,0,sofyandi handy ipah,"@DjarumCoklat min mau tanya, kalo sudah submit profil band tapi status nya pending, itu di coba lagi apa gimana?? Nuhun :)"
TW,27-12-2017,0,M Farhan Pratama,@Djarumcoklat https://t.co/jTJ2TORD1y
TW,27-12-2017,0,DCDC,Seorang Pemilik Label Indipenden Ternama Akan Berbincang Mengenai Rilisan Fisik. Siapakah dia? Simak berita selengk… https://t.co/bEw90cZ8em
TW,27-12-2017,6,DCDC,Rebel Dirt Bike kembali hadir! Komunitas yg mewadahi para musisi underground sekaligus pecinta olahraga motocross a… https://t.co/qWT1yeeS8h
TW,27-12-2017,0,Jembar Pangestu,https://t.co/WhUxZNnGop single pertama kami #dazedbank #envious sudah bisa di Denger di YouTube @DjarumCoklat
TW,27-12-2017,2,DCDC,Hightime Rebellion Reissue Debut Album Dalam Format Berbeda https://t.co/BLxtNfXPkh
TW,27-12-2017,10,Super Music,"Mengenang kesuksesan masifnya, @ledzeppelin segera rilis buku foto https://t.co/PHaK8Iay8b"
