index,ID,post_id,username,Keyword/Hashtag,caption,Owner ID,timestamp,Shortcode_ig/link_tw,comment_count,like_count,replies_count,retweet_count,Likes_TW,ECC,follower_count,following_count,Product,NJLP Bahasa,NJLP Ekspresi,NJLP Batas,NJLP (general),Soundastions 100,Soundsations Be Everything,GAC,Soundrenaline,RTS,Wave Of Tomorrow,Arah The Movie,Other events,source,tag source,P2P Tag,user_id
0,,'1703706913155801524,luthfiemaulana9,nantijugalopahambahasague,'Teamwork begins by building trust @arhiiyy @musikkamar90 @adin.jpg @mranifathurrahman @ferandamonica @heplague @pijakanmakassar \n#bersamaberkaryabebas #nantijugalopahambahasague #goaheadpeopleeast #teamwork #collaboration #makassarhebat #sulsel #community #art,6313077160,30/01/2018,BekyGkwB2G0,1,65,0,0,0,66,xx,xx,0,1,0,0,0,0,0,1,0,0,0,0,0,IG,organik,Organic,'
1,,'1702760426063084134,arhiiyy,nantijugalopahambahasague,'Released soon\n\nCD duplication by @elora_cd.\n\n@indiealisme.pro @kampoeng_indie_sulsel\n@goaheadpeople.makassar @laboratorium.audio @q_studio_record \n#bersamaberkaryabebas\n#nantijugalopahambahasague\n#dreambig\n#changetheordinary\n#expressyourself\n#goaheadpeople\n#goaheadpeoplemakassar,2451202616,29/01/2018,Beha5X9FTpm,8,66,0,0,0,74,xx,xx,0,1,0,0,0,0,0,1,0,0,0,0,0,IG,organik,Organic,'
2,,'1702635871525056780,arhiiyy,nantijugalopahambahasague,'singing with Nature when no more human can hear.\n\n#holiday\n#datobeach\n#majene\n#sulawesibarat\n#beach\n#beachlife \n#beautyofindonesia\n#bersamaberkaryabebas\n#nantijugalopahambahasague\n#dreambig\n#changetheordinary\n#expressyourself\n#goaheadpeople\n#goaheadpeoplemakassar,2451202616,29/01/2018,Beg-k3gFrEM,7,54,0,0,0,61,xx,xx,0,1,0,0,0,0,0,1,0,0,0,0,0,IG,organik,Organic,'
3,,'1699805919963937238,arhiiyy,nantijugalopahambahasague,'Mix Tears of Poseidon - Lives In Hell. #laboratoriumaudio\n#thisismygoahead\n#mixing\n#Mastering \n#musicproduction \n#musicproducer \n#musicproducerlifes\n#bersamaberkaryabebas\n#nantijugalopahambahasague\n#dreambig\n#changetheordinary\n#expressyourself\n#goaheadpeople\n#goaheadpeoplemakassar,2451202616,25/01/2018,BeW7HpujnnW,22,45,0,0,0,67,xx,xx,0,1,0,0,0,0,0,1,0,0,0,0,0,IG,organik,Organic,'
4,,'1691161513718871682,hadipriatna_,nantijugalopahambahasague,"'Milenial, zaman dimana saya hidup, berburu dan akan berkembang biak. \n#nantijugalopahambahasague\n#GoAHeadPeopleSubang \n#monstersubang\n#useless",792349988,13/01/2018,Bd4Nm_DBnaC,8,100,0,0,0,108,xx,xx,0,1,0,0,0,0,0,1,0,0,0,0,0,IG,organik,Organic,'
5,,'1684103724974511104,ariesbuno,nantijugalopahambahasague,"'Si mamat jualan ketan,selamat malam para gebetan 🥀ㅤㅤ\nㅤㅤ\nㅤㅤ\nㅤㅤ 📸 : @hasanwahid\n#goaheadpeoplebontang \n#robatencommunityhub \n#rotibakartenda \n#suarakankarya \n#nantijugalopahambahasague",284955999,01/03/2018,BdfI2pEBJQA,12,90,0,0,0,102,xx,xx,0,1,0,0,0,0,0,1,0,0,0,0,0,IG,organik,BA,'
6,,'1694981835068618566,bsproject.official,nantijugalopahambahasakita,'nantijugalopahambahasakita,6944294912,18/01/2018,BeFyP-kATdG,1,42,0,0,0,43,xx,xx,0,1,0,0,0,0,0,0,0,0,0,0,0,IG,organik,Organic,'
7,,'1694939461458073406,bsproject.official,nantijugalopahambahasakita,'Nikmatilah kebersamaan ini sebelum semuanya hanya menjadi sebuah kenangan.\n\n@bersamaberkaryabebas\n#rtsbandchallengejuni \n#bersamaberkaryabebas \n#nantijugalopahambahasakita \n#goaheadpeople\n#roadtosoundrenalinemakassar #roadtosoundrenaline2018\n#bandmate,6944294912,18/01/2018,BeFonXEABc-,0,15,0,0,0,15,xx,xx,0,1,0,0,0,0,0,1,1,1,0,0,0,IG,organik,Organic,'
8,,'1700254080222716757,amir.alkhair,njlp,'Selamat dirgahayu adik tersayang dan selamat dirgahayu buat kita ber 2.. 😊\nDan terimakasih banyak atas semua doa2 nya semoga apa yg di doakan begitu juga buat yg mendoakan amin..\nDan terimakasih sahabat2 terbaik @afrontmedan dan @mbrace.id \n#kawankawan #berjejaring #komunitas #happybirthday #ulangtahun #kreakmedan #njlp #afrontmedan2018,3304403337,26/01/2018,BeYhBPflWNV,32,174,0,0,0,206,xx,xx,0,0,0,0,1,0,0,0,0,0,0,0,0,IG,organik,BA,'
9,,'1697339496565113225,dikyhanesa,njlp,'#goaheadpeople #Goaheadpeoplejambi #goaheadsungaipenuh #goaheadpeoplebungo #njlp,3036393492,22/01/2018,BeOKUd8AQGJ,1,116,0,0,0,117,xx,xx,0,0,0,0,1,0,0,1,0,0,0,0,0,IG,organik,Organic,'
10,,'1774001142620132074,chacha_andika_94,njlp,'#njlp\n#soundsations\n#100kota1bahasa,1949930752,05/07/2018,BiehKPhApLq,2,50,0,0,0,52,xx,xx,0,0,0,0,1,1,0,0,0,0,0,0,0,IG,organik,Organic,'
11,,'1779641330440815886,javanana_id,njlp,'#Repost @teguhdeswanto with @get_repost\n・・・\nHai #goaheAdpeople tanjung pinang\n\nPastikan jadi saksi CompilActioN Project tanjungpinang 2018\n\nDatang dan support local talent di @barista_coffeshop hari ini 15 Mei jam 8 malam\n\nOpen Sharing with @mohammadimamsyah @teguhdeswanto @ks_aji\n\nBe there y 😎\n\n#goaheadpeople\n#goaheadpeopletanjungpinang\n#njlp\n#tanjungpinang\n#barista_coffeshop\n#friendly,5945019616,15/05/2018,Biyjlxwh0UO,0,8,0,0,0,8,xx,xx,0,0,0,0,1,0,0,1,0,0,0,0,0,IG,organik,Organic,'
12,,'1779639766326069616,ks_aji,njlp,'#Repost @teguhdeswanto with @get_repost\n・・・\nHai #goaheAdpeople tanjung pinang\n\nPastikan jadi saksi CompilActioN Project tanjungpinang 2018\n\nDatang dan support local talent di @barista_coffeshop hari ini 15 Mei jam 8 malam\n\nOpen Sharing with @mohammadimamsyah @teguhdeswanto \n@ks_aji\n\nBe there y 😎\n\n#goaheadpeople\n#goaheadpeopletanjungpinang\n#njlp\n#tanjungpinang\n#barista_coffeshop\n#friendly,655582132,15/05/2018,BiyjPBEBklw,2,61,0,0,0,63,xx,xx,0,0,0,0,1,0,0,1,0,0,0,0,0,IG,organik,Organic,'
13,,'1773147277328552624,satrialingga,njlp,"'.creARTion.\n\nRumah Genjing @rumahgenjingjkt invites you to have fun!\n\nCollaboration with #goAheadPeople #100kota1bahasa #SatuBahasaJakartaPusat #NantiJugaLoPahamBahasaKita #NJLP\n\nExplore yourself through visual art, photography, and videography workshop by :\n@oomleo\n@satrialingga\n@vigendra\n\nModerator :\n@sukmaheathead\n\nLets Danc-Sing together with @starsandrabbit and @sisitipsi . \nTuesday 8 May 2018.\nFor futher info : +62 878 87102352.\n\nBe there or be square!! 😊",610114156,05/06/2018,BibfA3fnpKw,23,910,0,0,0,933,xx,xx,0,1,0,0,1,1,0,1,0,0,0,0,0,IG,organik,Organic,'
14,,'1701562693330964458,kongkow_cafe_sampit,njlp,'8 besar turnamen mobile legend kongkow cafe sampit.\n\nRamaiiul Guys.. Ayo nongkrong santai sambil nonton turnamen para jawara grup.\n\nScream Your winner.. #goaheadpeople \n#kongkowcafe \n#njlp \n#squadlegensampit2018,3035760941,27/01/2018,BedKkEbDI_q,0,41,0,0,0,41,xx,xx,0,0,0,0,1,0,0,1,0,0,0,0,0,IG,organik,Organic,'
15,,'1691873405814930580,nisanurilhudhayani,njlp,"'Antara keyakinan dan perasaan 🍃🍃\n.\nKeyakinan? Ia ada di dalam hatimu.\nIa tak akan bertambah, jika dibenarkan. Dan tak akan berkurang jika disalahkan.\n.\nPerasaan? Permukaan tipis, sensitif dan subjektif yang ada di dalam setiap individu.\n.\n📷 : @prehadiakna .\n#bogor #nature #curuglontar #njlp",2458343941,14/01/2018,Bd6veYOh3yU,0,59,0,0,0,59,xx,xx,0,0,0,0,1,0,0,0,0,0,0,0,0,IG,organik,Organic,'
16,,'1721913676102957263,frikyrinaldo,njlp,"'Dont look back in anger,just go Ahead\n#NJLP #goahead #ewakomakassar #prayhardworkhard",4288389202,24/02/2018,Bfld12GAPjP,3,24,0,0,0,27,xx,xx,0,0,0,0,1,0,0,0,0,0,0,0,0,IG,organik,Organic,'
17,,'1795863862453645153,aranz_ent,njlp,"'Yesterdays just a memory, tomorrow is never what its supposed to be. \xf0\x9f\x91\x8a\xf0\x9f\x91\x8a\xf0\x9f\x91\x8d #stationcoffeepremium\n#scpremium\n#ngopikece \n#goaheadpeople \n#goaheadpeoplestation \n#goaheadpeoplelhokseumawe\n#nantijugalopaham \n#njlp\n#azone",5549360275,06/06/2018,BjsMKsCgq9h,0,29,0,0,0,29,xx,xx,0,0,0,0,1,0,0,1,0,0,0,0,0,IG,organik,Organic,'
18,,'1799696264473090353,ejakgk,njlp,'#jazzgk5 #hondajazz #hondajazzgk5 #honda #ivitec #jazzgk #gk #rungk5soon #rungk5 #xalvadorpalembang #xalvadorlampung #xalvadorcomunity #palembang #sumsel #indonesia #modif #draglook #enkei #otomotif #modifmobil #racing #njlp #nantijugalopaham,1272633743,06/12/2018,Bj5zjejhBkx,8,394,0,0,0,402,xx,xx,0,0,0,0,1,0,0,0,0,0,0,0,0,IG,organik,Organic,'
