id_key,keywords,category1,category2,category3,group_id,concat
1,#therockcampus,Engagement/Activities,local,jakarta,k1,Engagement/Activitieslocaljakarta
2,#mbrace,Engagement/Activities,local,medan,k2,Engagement/Activitieslocalmedan
3,#marbleproject,Engagement/Activities,local,ignore,k3,Engagement/Activitieslocalignore
4,#dewataproject,Engagement/Activities,local,bali,k4,Engagement/Activitieslocalbali
5,#socialhost,Engagement/Activities,local,yogyakarta,k5,Engagement/Activitieslocalyogyakarta
6,#newlandsamarinda,Engagement/Activities,local,samarinda,k6,Engagement/Activitieslocalsamarinda
7,#mbience,Engagement/Activities,local,medan,k2,Engagement/Activitieslocalmedan
8,#jakartamovers,Engagement/Activities,local,jakarta,k1,Engagement/Activitieslocaljakarta
9,#movesamarinda,Engagement/Activities,local,samarinda,k6,Engagement/Activitieslocalsamarinda
10,#magicmahakam,Engagement/Activities,local,samarinda,k6,Engagement/Activitieslocalsamarinda
11,#sansrideoi,Engagement/Activities,local,bandung,k7,Engagement/Activitieslocalbandung
12,#mahakamproject,Engagement/Activities,local,samarinda,k6,Engagement/Activitieslocalsamarinda
13,#newlandmakassar,Engagement/Activities,local,makassar,k8,Engagement/Activitieslocalmakassar
14,#sublimemovers,Engagement/Activities,local,surabaya,k9,Engagement/Activitieslocalsurabaya
15,#tiltproject,Engagement/Activities,local,bandung,k7,Engagement/Activitieslocalbandung
16,#slicecult,Engagement/Activities,local,jakarta,k1,Engagement/Activitieslocaljakarta
17,#eastribe,Engagement/Activities,local,surabaya,k9,Engagement/Activitieslocalsurabaya
18,#pinnaclehoz,Engagement/Activities,local,bali,k4,Engagement/Activitieslocalbali
19,#guedecidesurabaya,Engagement/Activities,local,surabaya,k9,Engagement/Activitieslocalsurabaya
20,#medanberkawan,Engagement/Activities,local,medan,k2,Engagement/Activitieslocalmedan
21,#mobomedan,Engagement/Activities,local,medan,k2,Engagement/Activitieslocalmedan
