,type_post,username,name,following_count,follower_count,user_id,post_id,caption,timestamp,date_post,comment_count,like_count,retweet_count,user_likes,video_view,display_url,is_video,link,link.1,Brand,Likes_TW,Keyword/Hashtag,replies_count,Owner ID,source,ID
54633,,dayatrifamanda_bfoc,,4661,2892,','3438407288,'#bikersadvantoure#unityteamareabukittinggi #jangkrikboss#touringGalau#cowokumild #bersaudarasoalrasa,15-01-18,,0.0,38.0,,,,,,,,Umild,,#bersaudarasoalrasa 26dec-15mar,,,IG,
54634,,ezonedoank,,5590,1700,','4060078886,'#cowoklebihtauRespek nomer satu#slank#rastainpeace#birgiputri#thesuitcasebandit,26-02-18,,0.0,79.0,,,,,,,,Umild,,#cowoklebihtau 26de-15mar,,,IG,
54635,,virasantikaa,,4912,991,','1396945700,'#cowolebihtau,05-03-18,,4.0,275.0,,,,,,,,Umild,,#cowolebihtau 26dec-15mar,,,IG,
54636,,basfafandi,,5589,2835,','51725936,'Edisi DILAN 1999Pegang erat Pinggangku saat Kita Melajudi Atas dua rodamelihat indahnya dunia Indonesiadendangkan serta lagu kesayangan kitaseperti waktu sedia kala disaat kita terangkai bersama..#COWOKLEBIHTAHU#RESPEKNOMORSATU#UNITYPOINTBUNGO#Bungotigerclub#Pengdajambi#hondatigerclubindonesia,07-03-18,,119.0,226.0,,,,,,,,Umild,,#cowoklebihtahu 26dec-15mar,,,IG,
54637,,bro_iman_037,,4675,1290,','4032892475,"'Karena yang berat itu bukan rindu ,. Tapi kapan aku diangkat menantu. @tyas_fortuna #cowoklebihtahu #respectnomorsatu #unitypointsungaipenuh #bikerbaper_nusantara #bikersalay",08-03-18,,0.0,39.0,,,,,,,,Umild,,#cowoklebihtahu 26dec-15mar,,,IG,
54638,,benperdana_046,,4271,2424,','6818258656,"'Butic slow be,,, #COWOKLEBIHTAHU  #RESPEKNOMORSATU  #UNITYPOINTSUNGAIPENUH  #bungotigerclub  #htcipengdajambi",08-03-18,,0.0,20.0,,,,,,,,Umild,,#cowoklebihtahu 26dec-15mar,,,IG,
54639,,bmtcbali,,2111,2753,','4030637136,'#Repost @basfafandi (@get_repost)Edisi DILAN 1999Pegang erat Pinggangku saat Kita Melajudi Atas dua rodamelihat indahnya dunia Indonesiadendangkan serta lagu kesayangan kitaseperti waktu sedia kala disaat kita terangkai bersama..#COWOKLEBIHTAHU#RESPEKNOMORSATU#UNITYPOINTSUNGAIPENUH#Bungotigerclub#Pengdajambi#hondatigerclubindonesia,08-03-18,,2.0,117.0,,,,,,,,Umild,,#cowoklebihtahu 26dec-15mar,,,IG,
54640,,icuyy022_inst,,4853,2400,','3642749390,'#cowoumildlebihtau,03-01-18,,0.0,54.0,,,,,,,,Umild,,#cowoumildlebihtau 26dec-15mar,,,IG,
54641,,pilaradio886fm,,575,113193,','1690976652,'Dapatkan tiketnya di PILARadio #UnityPitStop with @slankdotcom#cowoklebihtau#respeknomorsatu#unitypitstopcirebon,13-03-18,,0.0,734.0,,,,,,,,Umild,,#cowoklebihtau 26de-15mar,,,IG,
54642,,berdanska_ria,,-,-,','4589721582,'Ikan asin - berdanskaria Live at #unitypitstopmedium Tanjung pati 50kota#berdanskaria #berdanskariagigs2018#cowoklebihtau,04-03-18,,6.0,136.0,,,,,,,,Umild,,#cowoklebihtau 26de-15mar,,,IG,
